savings_rate,burn_rate,goal_completion_ratio,impulse_score,budget_efficiency,volatility_score,cluster
0.35,429.0,0.63,0.63,85.0,0.19,0
0.25,382.0,0.35,0.14,92.0,0.24,1
0.42,133.0,0.22,0.53,97.0,0.21,2
0.16,134.0,0.19,0.7,84.0,0.14,2
0.55,495.0,0.56,0.22,75.0,0.14,0
0.11,250.0,0.55,0.3,81.0,0.07,1
0.51,248.0,0.55,0.4,93.0,0.32,0
0.18,425.0,0.17,0.36,79.0,0.28,1
0.2,479.0,0.37,0.07,52.0,0.31,3
0.38,494.0,0.6,0.22,97.0,0.08,1
0.54,401.0,0.9,0.57,84.0,0.22,0
0.08,251.0,0.42,0.26,84.0,0.27,1
0.36,133.0,0.31,0.68,61.0,0.35,2
0.27,411.0,0.75,0.54,83.0,0.49,0
0.13,323.0,0.35,0.25,70.0,0.03,1
0.35,270.0,0.1,0.21,83.0,0.46,2
0.13,463.0,0.65,0.11,55.0,0.34,3
0.33,144.0,0.56,0.11,83.0,0.46,2
0.17,297.0,0.57,0.26,100.0,0.1,1
0.21,105.0,0.73,0.19,52.0,0.14,3
0.26,287.0,0.62,0.27,99.0,0.27,1
0.39,123.0,0.58,0.53,70.0,0.17,0
0.15,148.0,0.45,0.36,94.0,0.51,2
0.31,147.0,0.3,0.5,89.0,0.22,2
0.2,360.0,0.11,0.28,78.0,0.3,2
0.18,398.0,0.64,0.34,87.0,0.6,2
0.37,333.0,0.55,0.26,94.0,0.23,1
0.2,485.0,0.31,0.25,70.0,0.33,3
0.19,250.0,0.15,0.71,66.0,0.16,2
0.28,214.0,0.46,0.2,83.0,0.26,1
0.1,447.0,0.68,0.4,90.0,0.39,1
0.21,189.0,0.65,0.16,88.0,0.12,1
0.31,485.0,0.27,0.7,90.0,0.23,1
0.04,105.0,0.39,0.13,72.0,0.34,2
0.12,488.0,0.27,0.15,91.0,0.07,1
0.21,117.0,0.16,0.55,56.0,0.38,2
0.36,456.0,0.89,0.4,77.0,0.32,0
0.65,311.0,0.36,0.24,50.0,0.2,0
0.16,497.0,0.76,0.46,66.0,0.29,3
